	reviewer_1	reviewer_2	suspicious_score	commonproducts
860	15039	15040	1	1
861	15039	15041	1	1
862	15040	15041	1	1
863	15041	15042	1	1
864	15042	15043	1	1
865	15043	15044	1	1
866	15045	15046	1	1
867	15045	15047	1	1
868	15045	15048	1	1
869	15046	15047	1	1
870	15046	15048	1	1
871	15047	15048	1	1
872	15050	15051	1	1
873	15052	15053	1	1
874	15053	15054	1	1
875	15055	15056	1	1
876	15058	15060	1	1
877	15062	15063	1	1
878	15064	15065	1	1
879	15064	15066	1	1
880	15065	15066	1	1
881	15068	15069	1	1
882	15071	15072	1	1
883	15071	15073	1	1
884	15072	15073	1	1
885	15074	15075	1	1
886	15076	15077	1	1
887	15079	15080	1	1
888	15081	15082	1	1
889	15082	15083	1	1
890	15083	15084	1	1
891	15085	15086	1	1
892	15085	15087	1	1
893	15086	15087	1	1
894	15090	15091	1	1
895	15090	15092	1	1
896	15090	15093	1	1
897	15091	15092	1	1
898	15091	15093	1	1
899	15092	15093	1	1
900	15099	15100	1	1
901	15112	15203	1	1
902	15117	15185	1	1
903	15117	15187	1	1
904	15119	15159	1	1
905	15123	15164	1	1
906	15123	15165	1	1
907	15124	15183	1	1
908	15124	15184	1	1
909	15129	15206	1	1
910	15130	15207	1	1
911	15132	15133	1	1
912	15133	15134	1	1
913	15136	15137	1	1
914	15137	15138	1	1
915	15137	15139	1	1
916	15138	15139	1	1
917	15141	15142	1	1
918	15143	15144	1	1
919	15146	15147	1	1
920	15146	15148	1	1
921	15147	15148	1	1
922	15152	15153	1	1
923	15152	15154	1	1
924	15152	15155	1	1
925	15153	15154	1	1
926	15153	15155	1	1
927	15154	15155	1	1
928	15161	15162	1	1
929	15164	15165	1	1
930	15166	15168	1	1
931	15166	15169	1	1
932	15168	15169	1	1
933	15176	15177	1	1
934	15180	15181	1	1
935	15182	15183	1	1
936	15185	15186	1	1
937	15185	15187	1	1
938	15191	15192	1	1
939	15195	15196	1	1
940	15198	15199	1	1
941	15202	15204	1	1
942	15210	15211	1	1
943	15212	15213	1	1
944	15215	15216	1	1
945	15236	15249	1	1
946	15245	15247	1	1
947	15259	15260	1	1
948	15263	15264	1	1
949	15295	15296	1	1
